city,population
"EL PASO,TX",565952
"MISSION,TX",102841
"PHARR,TX",46199
"MCALLEN,TX",94892
"BROWNSVILLE,TX",144583
"EDINBURG,TX",81467
"HARLINGEN,TX",60708
"LAREDO,TX",181748
"CORPUS CHRISTI,TX",227414
"ODESSA,TX",108013
"SAN ANTONIO,TX",1195461
"MIDLAND,TX",108806
"VICTORIA,TX",65015
"NEW BRAUNFELS,TX",78216
"SAN ANGELO,TX",81744
"SAN MARCOS,TX",36746
"AUSTIN,TX",698371
"CEDAR PARK,TX",53714
"PFLUGERVILLE,TX",54968
"LUBBOCK,TX",180277
"ROUND ROCK,TX",109818
"MISSOURI CITY,TX",78237
"SUGAR LAND,TX",125373
"GALVESTON,TX",33948
"GEORGETOWN,TX",56347
"LEAGUE CITY,TX",58519
"PEARLAND,TX",89828
"PASADENA,TX",106140
"HOUSTON,TX",2137434
"BAYTOWN,TX",80936
"ABILENE,TX",94477
"KILLEEN,TX",138941
"TEMPLE,TX",55044
"COLLEGE STATION,TX",54883
"BRYAN,TX",63294
"CONROE,TX",94889
"PORT ARTHUR,TX",39590
"AMARILLO,TX",172249
"BEAUMONT,TX",115554
"WACO,TX",120788
"MANSFIELD,TX",50138
"FORT WORTH,TX",698333
"GUYMON,OK",11623
"ARLINGTON,TX",292572
"NORTH RICHLAND HILLS,TX",105780
"DESOTO,TX",38597
"GRAND PRAIRIE,TX",132597
"EULESS,TX",48646
"WICHITA FALLS,TX",80485
"GRAPEVINE,TX",63968
"IRVING,TX",167856
"ALTUS,OK",16572
"DALLAS,TX",942908
"FLOWER MOUND,TX",57037
"MESQUITE,TX",129290
"LEWISVILLE,TX",184505
"CARROLLTON,TX",103201
"DENTON,TX",97134
"GARLAND,TX",196665
"RICHARDSON,TX",82338
"ROWLETT,TX",47252
"PLANO,TX",235179
"FRISCO,TX",94754
"ALLEN,TX",94935
"TYLER,TX",109560
"ELK CITY,OK",11623
"MCKINNEY,TX",113359
"LAWTON,OK",72588
"LONGVIEW,TX",81461
"DUNCAN,OK",22112
"CLINTON,OK",7947
"ARDMORE,OK",26983
"WEATHERFORD,OK",9002
"WOODWARD,OK",12690
"CHICKASHA,OK",14764
"DURANT,OK",15619
"EL RENO,OK",12754
"NEWCASTLE,OK",5751
"MUSTANG,OK",17621
"YUKON,OK",48029
"NORMAN,OK",80727
"BETHANY,OK",15228
"ADA,OK",22965
"DEL CITY,OK",36843
"MIDWEST CITY,OK",44496
"MOORE,OK",77590
"THE VILLAGE,OK",27488
"WARR ACRES,OK",53676
"CHOCTAW,OK",17389
"EDMOND,OK",112717
"SHAWNEE,OK",30844
"GUTHRIE,OK",15668
"ENID,OK",41936
"MCALESTER,OK",20899
"STILLWATER,OK",32605
